sep=|
- - 2022 AADT Report for Albemarle County - -
LINKID|SEQUENCENUMBER|RTE_NM|RTE_NM_2|RTE_NM_3|RTE_NM_4|Host RTE_NM|Route Label|Street Name|Physical Jurisdiction|Physical Jurisdiciton Name|Maintenance Jurisdiction|Maintenance Jurisdiciton Name|    Start Label|Start Node|Start Node Route Sequence|Star tOffset|Start Milepoint|    End Label|End Node|End Node Route Sequence|End Offset|End Milepoint|    VPDDate|AADT|AADT Quality|Passenger Vehicle|Bus|Truck 2 Axle|Truck 3 Axle|Truck 1 Trailer|Truck 2 Trailer|Class Quality|K Factor|K Factor Quality|Direction Factor|AAWDT|AAWDT Quality|AADT Dir|AADT Quality Dir|PassengerVehicle Dir|Bus Dir|Truck 2 Axle Dir|Truck 3 Axle Dir|Truck 1 Trailer Dir|Truck 2 Trailer Dir|Class Quality Dir|K Factor Dir|K Factor Quality Dir|Direction Factor Dir|AAWDT Dir|AAWDT Quality Dir
190302|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |062|Nelson County|002|Albemarle County|    |  50205|0|0|99.96|    Physical Jurisdiction Boundary: 062 Nelson County / 002 Albemarle County| 111355|0|0|101.32|    01/01/2022|36318|A|87|1|1|1|10|0|F|.103|1 |.56|36327|A|17695|A|87|1|1|1|9|0|F|.102|1 |1|17580|A
190302|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    | 111355|0|0|101.32|    | 111360|0|0|107.22|    01/01/2022|36318|A|87|1|1|1|10|0|F|.103|1 |.56|36327|A|17695|A|87|1|1|1|9|0|F|.102|1 |1|17580|A
070222|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    US 250 Rockfish Gap Tpke| 111360|0|0|107.22|    02-637 Dick Woods Rd| 111362|0|0|114.13|    01/01/2022|39913|G|87|1|1|1|10|0|F|.09|6 |.64|40421|G|19662|G|87|1|1|1|9|0|F|.096|6 |1|19801|G
070223|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    02-637 Dick Woods Rd| 111362|0|0|114.13|    | 111367|0|0|118.38|    01/01/2022|43800|A|87|1|1|1|10|0|F|.103|1 |.55|44215|A|21955|A|87|1|1|1|9|0|F|.112|1 |1|22161|A
070172|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    US 29 Monacan Trail Rd| 111367|0|0|118.38|    02-631 5th St| 111368|0|0|119.87|    01/01/2022|52535|A|87|1|2|1|9|0|F|.107|1 |.53|53841|A|25790|A|88|1|1|1|9|0|F|.115|1 |1|26327|A
070170|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    02-631 5th St| 111368|0|0|119.87|    SR 20 Scottsville Rd| 111370|0|0|121.6|    01/01/2022|47455|A|87|1|2|1|9|0|F|.108|1 |.5|48493|A|23722|A|88|1|1|1|9|0|F|.117|1 |1|24166|A
070224|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    SR 20 Scottsville Rd| 111370|0|0|121.6|    Physical Jurisdiction Boundary: 002 Albemarle County / 104 City of Charlottesville| 111372|0|0|122.15|    01/01/2022|42924|A|87|1|2|1|9|0|F|.109|1 |.53|43613|A|20717|A|88|1|1|1|9|0|F|.123|1 |1|20941|A
070224|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |104|City of Charlottesville|002|Albemarle County|    | 111372|0|0|122.15|    Physical Jurisdiction Boundary: 104 City of Charlottesville / 002 Albemarle County| 111373|0|0|122.32|    01/01/2022|42924|A|87|1|2|1|9|0|F|.109|1 |.53|43613|A|20717|A|88|1|1|1|9|0|F|.123|1 |1|20941|A
070224|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    | 111373|0|0|122.32|    US 250 Richmond Rd| 111374|0|0|124.32|    01/01/2022|42924|A|87|1|2|1|9|0|F|.109|1 |.53|43613|A|20717|A|88|1|1|1|9|0|F|.123|1 |1|20941|A
070225|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    US 250 Richmond Rd| 111374|0|0|124.32|    | 111376|0|0|129.74|    01/01/2022|42827|A|87|1|2|1|9|0|F|.105|1 |.55|42853|A|20682|A|88|1|1|1|9|0|F|.125|1 |1|20508|A
070168|0|R-VA   IS00064EB||||R-VA   IS00064EB|I-64| |002|Albemarle County|002|Albemarle County|    02-616 Black Cat Rd| 111376|0|0|129.74|    |  50212|0|0|131.16|    01/01/2022|38199|G|87|1|2|1|9|0|F|.089|6 |.63|36579|G|18719|G|88|1|1|1|9|0|F|.108|6 |1|17811|G
780976|0|R-VA   IS00064EB      RMP107.00A||||R-VA   IS00064EB      RMP107.00A|I-64  EB EXIT 107A|I-64 East Exit 107|002|Albemarle County|002|Albemarle County|    I-64 East| 111360|0|0|0|    US 250 Rockfish Gap Trnpk| 111456|0|0|.14|    01/01/2022|1863|G|||||||X|.105|6 |1|1830|G||||||||||||||
780977|0|R-VA   IS00064EB      RMP114.00A||||R-VA   IS00064EB      RMP114.00A|I-64  EB EXIT 114A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 East| 111362|0|0|0|    02-637 Dick Woods Rd| 110172|0|0|.17|    01/01/2022|417|G|||||||X|.144|6 |1|408|G||||||||||||||
780978|0|R-VA   IS00064EB      RMP118.00A||||R-VA   IS00064EB      RMP118.00A|I-64  EB EXIT 118A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 East| 111364|0|0|0|    US 29 S, Monacan Trail Rd| 111308|0|0|.21|    01/01/2022|470|G|||||||X|.105|6 |1|503|G||||||||||||||
780979|0|R-VA   IS00064EB      RMP118.00B||||R-VA   IS00064EB      RMP118.00B|I-64  EB EXIT 118B|Ramp|002|Albemarle County|002|Albemarle County|    I-64 East| 111366|0|0|0|    US 29 N, Monacan Trail Rd| 111311|0|0|.19|    01/01/2022|7712|G|||||||X|.15|6 |1|8242|G||||||||||||||
780980|0|R-VA   IS00064EB      RMP120.00A||||R-VA   IS00064EB      RMP120.00A|I-64  EB EXIT 120A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 East| 111368|0|0|0|    5th Street Ext| 110138|0|0|.16|    01/01/2022|6974|G|||||||X|.085|6 |1|7454|G||||||||||||||
780981|0|R-VA   IS00064EB      RMP121.00A||||R-VA   IS00064EB      RMP121.00A|I-64  EB EXIT 121A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 East| 111370|0|0|0|    SR 20 S, Scottsville Rd| 111294|0|0|.2|    01/01/2022|4643|G|||||||X|.118|6 |1|4959|G||||||||||||||
780982|0|R-VA   IS00064EB      RMP121.00B||||R-VA   IS00064EB      RMP121.00B|I-64  EB EXIT 121B|Ramp|002|Albemarle County|002|Albemarle County|    I-64 East| 111399|0|0|0|    SR 20 N, Scottsville Rd| 111291|0|0|.2|    01/01/2022|2338|G|||||||X|.165|6 |1|2496|G||||||||||||||
780983|0|R-VA   IS00064EB      RMP124.00A||||R-VA   IS00064EB      RMP124.00A|I-64  EB EXIT 124A|I-64 E Exit 124|002|Albemarle County|002|Albemarle County|    I-64 East| 111374|0|0|0|    US 250 Richmond Rd| 111410|0|0|.21|    01/01/2022|6616|A|||||||X|.122|1 |1|7260|A||||||||||||||
780984|0|R-VA   IS00064EB      RMP129.00A||||R-VA   IS00064EB      RMP129.00A|I-64  EB EXIT 129A|I-64 East Exit 129|002|Albemarle County|002|Albemarle County|    I-64 East| 111376|0|0|0|    02-616 Black Cat Rd| 110074|0|0|.22|    01/01/2022|3466|G|||||||X|.158|6 |1|3397|G||||||||||||||
780975|0|R-VA   IS00064EB      RST105.00R||||R-VA   IS00064EB      RST105.00R|I-64  EB Rest Area 105|Charlottesville Rest Area|002|Albemarle County|002|Albemarle County|    Exit Rest Area Parking Lot| 720799|0|0|.19|    I-64 East from Rest Area| 111359|0|0|.25|    01/01/2022|940|G|96|1|1|0|2|0|F|.105|6 |1|767|G||||||||||||||
180061|0|R-VA   IS00064WB||||R-VA   IS00064WB|I-64| |062|Nelson County|002|Albemarle County|    |  50204|0|0|99.91|    Physical Jurisdiction Boundary: 062 Nelson County / 002 Albemarle County| 111378|0|0|101.27|    01/01/2022|36318|A|87|1|1|1|10|0|F|.103|1 |.56|36327|A|18623|A|87|1|1|1|10|0|F|.117|1 |1|18747|A
180061|0|R-VA   IS00064WB||||R-VA   IS00064WB|I-64| |002|Albemarle County|002|Albemarle County|    | 111378|0|0|101.27|    Physical Jurisdiction Boundary: 062 Nelson County / 002 Albemarle County| 111380|0|0|107.54|    01/01/2022|36318|A|87|1|1|1|10|0|F|.103|1 |.56|36327|A|18623|A|87|1|1|1|10|0|F|.117|1 |1|18747|A
170001|0|R-VA   IS00064WB||||R-VA   IS00064WB|I-64| |002|Albemarle County|002|Albemarle County|    US 250 Rockfish Gap Tpke| 111380|0|0|107.54|    02-637 Dick Woods Rd| 111384|0|0|114.55|    01/01/2022|39913|G|87|1|1|1|10|0|F|.083|6 |.59|40421|G|20251|G|87|1|1|1|10|0|F|.099|6 |1|20620|G
170002|0|R-VA   IS00064WB||||R-VA   IS00064WB|I-64| |002|Albemarle County|002|Albemarle County|    02-637 Dick Woods Rd| 111384|0|0|114.55|    | 111387|0|0|118.31|    01/01/2022|43800|A|87|1|1|1|10|0|F|.103|1 |.55|44215|A|21845|A|87|1|1|1|10|0|F|.118|1 |1|22054|A
170003|0|R-VA   IS00064WB||||R-VA   IS00064WB|I-64| |002|Albemarle County|002|Albemarle County|    US 29 Monacan Trail Rd| 111387|0|0|118.31|    02-631 5th St| 111389|0|0|120.15|    01/01/2022|52535|A|87|1|2|1|9|0|F|.107|1 |.53|53841|A|26745|A|87|1|2|1|9|0|F|.107|1 |1|27514|A
170004|0|R-VA   IS00064WB||||R-VA   IS00064WB|I-64| |002|Albemarle County|002|Albemarle County|    02-631 5th St| 111389|0|0|120.15|    SR 20 Scottsville Rd| 111390|0|0|121.67|    01/01/2022|47455|A|87|1|2|1|9|0|F|.108|1 |.5|48493|A|23733|A|87|1|2|1|9|0|F|.108|1 |1|24327|A
170006|0|R-VA   IS00064WB||||R-VA   IS00064WB|I-64| |002|Albemarle County|002|Albemarle County|    US 250 Richmond Rd| 111396|0|0|124.67|    | 111398|0|0|130.04|    01/01/2022|42827|A|87|1|2|1|9|0|F|.105|1 |.55|42853|A|22145|A|87|1|2|1|9|0|F|.121|1 |1|22345|A
870006|0|R-VA   IS00064WB||||R-VA   IS00064WB|I-64| |002|Albemarle County|002|Albemarle County|    02-616 Black Cat Rd| 111398|0|0|130.04|    Jurisdiction Boundary: 002 Albemarle County / |  50211|0|0|131.12|    01/01/2022|38199|G|87|1|2|1|9|0|F|.081|6 |.64|36579|G|19480|G|87|1|2|1|9|0|F|.097|6 |1|18768|G
781096|0|R-VA   IS00064WB      RMP107.00A||||R-VA   IS00064WB      RMP107.00A|I-64  WB EXIT 107A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 West| 111380|0|0|0|    US 250 Rockfish Gap Trnpk| 111455|0|0|.15|    01/01/2022|4824|G|||||||X|.171|6 |1|4738|G||||||||||||||
781098|0|R-VA   IS00064WB      RMP114.00A||||R-VA   IS00064WB      RMP114.00A|I-64  WB EXIT 114A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 West| 111384|0|0|0|    02-637 Dick Woods Rd| 110173|0|0|.17|    01/01/2022|2357|G|||||||X|.128|6 |1|2314|G||||||||||||||
781099|0|R-VA   IS00064WB      RMP118.00A||||R-VA   IS00064WB      RMP118.00A|I-64  WB EXIT 118A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 West| 111386|0|0|0|    US 29 S, Monacan Trail Rd| 717725|0|0|.22|    01/01/2022|2355|G|||||||X|.116|6 |1|2518|G||||||||||||||
781100|0|R-VA   IS00064WB      RMP118.00B||||R-VA   IS00064WB      RMP118.00B|I-64  WB EXIT 118B|Ramp|002|Albemarle County|002|Albemarle County|    I-64 West| 111387|0|0|0|    US 29 Monacan Trail Rd| 111313|0|0|.14|    01/01/2022|9947|A|||||||X|.17|1 |1|11153|A||||||||||||||
781101|0|R-VA   IS00064WB      RMP120.00A||||R-VA   IS00064WB      RMP120.00A|I-64  WB EXIT 120A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 West| 111389|0|0|0|    5th Street| 110137|0|0|.1|    01/01/2022|4504|G|||||||X|.105|6 |1|4814|G||||||||||||||
781102|0|R-VA   IS00064WB      RMP121.00A||||R-VA   IS00064WB      RMP121.00A|I-64  WB EXIT 121A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 West| 111392|0|0|0|    SR 20 Scottsville Rd|1009845|0|0|.15|    01/01/2022|4912|G|||||||X|.107|6 |1|5244|G||||||||||||||
781103|0|R-VA   IS00064WB      RMP124.00A||||R-VA   IS00064WB      RMP124.00A|I-64  WB EXIT 124A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 West| 111396|0|0|0|    US 250 Richmond Rd| 111411|0|0|.23|    01/01/2022|2107|G|98|0|1|1|1|0|F|.237|6 |1|3020|G||||||||||||||
781104|0|R-VA   IS00064WB      RMP129.00A||||R-VA   IS00064WB      RMP129.00A|I-64  WB EXIT 129A|Ramp|002|Albemarle County|002|Albemarle County|    I-64 West| 111398|0|0|0|    02-616 Black Cat Rd| 110073|0|0|.22|    01/01/2022|496|G|97|0|1|1|0|0|F|.113|6 |1|486|G||||||||||||||
792635|1|R-VA   IS00064WB      RST113.00R||||R-VA   IS00064WB      RST113.00R|I-64  WB Rest Area 113||002|Albemarle County|002|Albemarle County|    Exit Rest Area Parking Lot| 720927|0|0|.12|    I-64 West from Rest Area| 111381|0|0|.27|    01/01/2022|1137|G|||||||X|.115|6 |1|1111|G||||||||||||||
202190|0|R-VA   OT90113EB||||R-VA   OT90113EB|90113||002|Albemarle County|US |Federal|    VA 48 Skyline Dr|1109178|0|0|0|    |1151817|0|0|.197|    ||X||||||||||||||||||||||||||
202191|0|R-VA   OT90114EB||||R-VA   OT90114EB|90114||002|Albemarle County|US |Federal|    90113 Dundo Campground Rd|1274137|0|0|0|    90113 Dundo Campground Rd|1274138|0|0|.08|    ||X||||||||||||||||||||||||||
170024|0|R-VA   SR00006EB||||R-VA   SR00006EB|VA 6|Irish Rd|002|Albemarle County|002|Albemarle County|    Nelson County Line|1144295|0|0|23.32|    02-627 Porters Rd| 110106|0|0|30.29|    01/01/2022|1380|G|93|1|3|1|2|0|C|.118|6 |.63|1327|G||||||||||||||
170025|0|R-VA   SR00006EB||||R-VA   SR00006EB|VA 6|Irish Rd|002|Albemarle County|002|Albemarle County|    02-627 Porters Rd| 110106|0|0|30.29|    SR 20 W, Scottsville Rd| 111270|0|0|35.97|    01/01/2022|1554|G|95|1|2|1|1|0|C|.106|6 |.53|1495|G||||||||||||||
170026|0|R-VA   SR00006EB|R-VA   SR00020NB|||R-VA   SR00006EB|VA 6, VA 20|Valley Rd|002|Albemarle County|002|Albemarle County|    SR 20 W, Scottsville Rd| 111270|0|0|35.97|    Physical Jurisdiction Boundary: 002 Albemarle County / 298 Town of Scottsville| 111269|0|0|36.25|    01/01/2022|8339|G|93|1|3|1|2|0|F|.098|6 |.68|8020|G||||||||||||||
170026|0|R-VA   SR00006EB|R-VA   SR00020NB|||R-VA   SR00006EB|VA 6, VA 20|Valley Rd|298|Town of Scottsville|002|Albemarle County|    | 111269|0|0|36.25|    SR 20 E; Main St| 110777|0|0|36.55|    01/01/2022|8339|G|93|1|3|1|2|0|F|.098|6 |.68|8020|G||||||||||||||
170027|0|R-VA   SR00006EB||||R-VA   SR00006EB|VA 6|Main St|298|Town of Scottsville|002|Albemarle County|    SR 20 E, Valley St| 110777|0|0|36.55|    Fluvanna County Line|  50210|0|0|36.83|    01/01/2022|3774|G|96|1|1|1|1|0|F|.107|6 |.56|3630|G||||||||||||||
170028|0|R-VA   SR00006EB||||R-VA   SR00006EB|VA 6|Main St|298|Town of Scottsville|032|Fluvanna County|    Albemarle County Line|  50210|0|0|36.83|    Physical Jurisdiction Boundary: 298 Town of Scottsville / 032 Fluvanna County| 323307|0|0|37.26|    01/01/2022|3504|G|96|1|1|1|1|0|C|.102|6 |.6|3426|G||||||||||||||
070210|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Valley St|014|Buckingham County|002|Albemarle County|    Buckingham County Line|  50209|0|0|19.05|    Physical Jurisdiction Boundary: 014 Buckingham County / 298 Town of Scottsville| 111302|0|0|19.17|    01/01/2022|6171|G|96|0|1|1|2|0|C|.099|6 |.71|5936|G||||||||||||||
070210|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Valley St|298|Town of Scottsville|002|Albemarle County|    Maintenance Jurisdiction Boundary: 014 Buckingham County / 002 Albemarle County| 111302|0|0|19.17|    SR 6 S, Main St| 110777|0|0|19.34|    01/01/2022|6171|G|96|0|1|1|2|0|C|.099|6 |.71|5936|G||||||||||||||
170026|0|R-VA   SR00020NB|R-VA   SR00006EB|||R-VA   SR00006EB|VA 6, VA 20|Valley Rd|002|Albemarle County|002|Albemarle County|    SR 20 W, Scottsville Rd| 110777|0|0|19.34|    Physical Jurisdiction Boundary: 002 Albemarle County / 298 Town of Scottsville| 111269|0|0|19.62|    01/01/2022|8339|G|93|1|3|1|2|0|F|.098|6 |.68|8020|G||||||||||||||
170026|0|R-VA   SR00020NB|R-VA   SR00006EB|||R-VA   SR00006EB|VA 6, VA 20|Valley Rd|298|Town of Scottsville|002|Albemarle County|    | 111269|0|0|19.62|    SR 20 E; Main St| 110777|0|0|19.92|    01/01/2022|8339|G|93|1|3|1|2|0|F|.098|6 |.68|8020|G||||||||||||||
070007|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Scottsville Rd|002|Albemarle County|002|Albemarle County|    SR 6 N, Irish Rd| 111270|0|0|19.92|    02-712 Plank Rd, Keene| 110413|0|0|25.43|    01/01/2022|7493|G|94|1|1|2|2|0|F|.098|6 |.75|7207|G||||||||||||||
070209|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Scottsville Rd|002|Albemarle County|002|Albemarle County|    02-712 Plank Rd, Keene| 110413|0|0|25.43|    02-708 Red Hill Rd| 110393|0|0|29.49|    01/01/2022|8951|G|94|1|1|2|2|0|F|.096|6 |.75|8610|G||||||||||||||
070208|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Scottsville Rd|002|Albemarle County|002|Albemarle County|    02-708 Red Hill Rd| 110393|0|0|29.49|    | 720323|0|0|34.65|    01/01/2022|8723|G|94|1|1|2|2|0|C|.097|6 |.75|9183|G||||||||||||||
070207|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Scottsville Rd|002|Albemarle County|002|Albemarle County|    02-742 Avon St| 720323|0|0|34.65|    SR 53 Thomas Jefferson Pkwy| 111297|0|0|36.81|    01/01/2022|6398|G|94|1|1|2|2|0|F|.1|6 |.7|6735|G||||||||||||||
070126|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Scottsville Rd|002|Albemarle County|002|Albemarle County|    SR 53 Thomas Jefferson Pkwy| 111297|0|0|36.81|    I-64| 111291|0|0|37.35|    01/01/2022|16671|G|94|1|1|2|2|0|F|.104|6 |.69|17551|G||||||||||||||
070152|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Scottsville Rd|002|Albemarle County|002|Albemarle County|    I-64| 111291|0|0|37.35|    SCL Charlottesville| 111286|0|0|37.59|    01/01/2022|16555|G|97|1|1|1|1|0|C|.103|6 |.86|17456|G||||||||||||||
613608|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Monticello Ave|104|City of Charlottesville|104|City of Charlottesville|    SCL Charlottesville| 111286|0|0|37.59|    | 111285|0|0|37.85|    01/01/2022|13303|G|97|1|1|0|1|0|F|.102|6 |.63|14027|G||||||||||||||
613257|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Monticello Ave|104|City of Charlottesville|104|City of Charlottesville|    Altavista Ave| 111285|0|0|37.85|    Carlton Rd| 111283|0|0|38.13|    01/01/2022|12917|G|97|1|1|0|1|0|F|.102|6 |.63|13619|G||||||||||||||
613254|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Monticello Ave|104|City of Charlottesville|104|City of Charlottesville|    Carlton Rd| 111283|0|0|38.13|    Avon St| 111282|0|0|38.48|    01/01/2022|6978|G|97|1|1|0|1|0|C|.102|6 |.59|7358|G||||||||||||||
613252|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Avon St|104|City of Charlottesville|104|City of Charlottesville|    Monticello Ave| 111282|0|0|38.48|    Market Street| 111275|0|0|38.89|    01/01/2022|11569|G|97|1|1|0|1|0|F|.094|6 |.52|12199|G||||||||||||||
613240|0|R-VA   SR00020NB|R-VA   US00250EBBUS001|||R-VA   SR00020NB|BUS US 250, VA 20|9th St|104|City of Charlottesville|104|City of Charlottesville|    Market St| 111275|0|0|38.89|    US 250 High St| 111273|0|0|39.01|    01/01/2022|10770|G|97|1|1|0|1|0|F|.096|6 |.6|11355|G||||||||||||||
613241|0|R-VA   SR00020NB|R-VA   US00250EBBUS001|||R-VA   US00250EBBUS001|BUS US 250, VA 20|High St|104|City of Charlottesville|104|City of Charlottesville|    SR 20 9th St| 111273|0|0|39.01|    11th St| 111469|0|0|39.24|    01/01/2022|8678|G|98|0|1|0|0|0|F|.092|6 |.65|9150|G||||||||||||||
613242|0|R-VA   SR00020NB|R-VA   US00250EBBUS001|||R-VA   US00250EBBUS001|BUS US 250, VA 20|High St|104|City of Charlottesville|104|City of Charlottesville|    11th St| 111469|0|0|39.24|    Gillespie Ave| 111467|0|0|39.45|    01/01/2022|7617|G|98|0|1|0|0|0|C|.1|6 |.71|8031|G||||||||||||||
613243|0|R-VA   SR00020NB|R-VA   US00250EBBUS001|||R-VA   US00250EBBUS001|BUS US 250, VA 20|High St|104|City of Charlottesville|104|City of Charlottesville|    Gillespie Ave| 111467|0|0|39.45|    |1002804|0|0|39.89|    01/01/2022|17703|G|98|0|1|0|0|0|F|.093|6 |.66|18666|G||||||||||||||
070237|0|R-VA   SR00020NB|R-VA   US00250EB|||R-VA   US00250EB|US 250, VA 20|Richmond Rd|104|City of Charlottesville|104|City of Charlottesville|    Bus US 250 High St| 802042|0|0|39.89|    Jurisdiction Boundary: 104 City of Charlottesville / 002 Albemarle County| 111414|0|0|39.95|    01/01/2022|48017|G|98|0|1|1|1|0|F|.084|6 |.56|50629|G||||||||||||||
070237|0|R-VA   SR00020NB|R-VA   US00250EB|||R-VA   US00250EB|US 250, VA 20|Richmond Rd|002|Albemarle County|002|Albemarle County|    | 111414|0|0|39.95|    SR 20 Stony Point Rd| 110700|0|0|40.15|    01/01/2022|48017|G|98|0|1|1|1|0|F|.084|6 |.56|50629|G||||||||||||||
070206|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Stony Point Rd|002|Albemarle County|002|Albemarle County|    US 250 Richmond Rd| 110700|0|0|40.15|    | 110528|0|.84|43.28|    01/01/2022|8199|G|97|0|1|1|1|0|F|.109|6 |.65|8632|G||||||||||||||
070236|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Stony Point Rd|002|Albemarle County|002|Albemarle County|    Urban Boundary| 110528|0|.84|43.28|    02-649 Proffit Rd| 110201|0|0|45.05|    01/01/2022|6706|G|97|0|1|1|1|0|F|.113|6 |.64|6451|G||||||||||||||
070005|0|R-VA   SR00020NB||||R-VA   SR00020NB|VA 20|Stony Point Rd|002|Albemarle County|002|Albemarle County|    02-649 Proffit Rd| 110201|0|0|45.05|    02-600 Stony Point Pass| 111202|0|0|47.87|    01/01/2022|3826|G|97|0|1|1|1|0|F|.127|6 |.74|3680|G||||||||||||||
